Date/Time, Outdoor Humidity, Outdoor Temperature C, Indoor Humidity, Humidifier Level
2023.01.25 15:28,64,2,41,3
2023.01.25 15:33,64,2,41,3
2023.01.25 15:38,64,2,41,3
2023.01.25 15:43,64,2,41,3
2023.01.25 15:48,64,2,41,3
2023.01.25 15:53,64,2,41,3
2023.01.25 15:58,64,2,41,3
2023.01.25 16:03,67,2,41,3
2023.01.25 16:08,67,2,41,3
2023.01.25 16:13,67,2,41,3
2023.01.25 16:18,67,2,41,3
2023.01.25 16:23,67,2,41,3
2023.01.25 16:28,67,2,41,3
2023.01.25 16:33,67,2,41,3
2023.01.25 16:38,67,2,41,3
2023.01.25 16:43,67,2,41,3
2023.01.25 16:48,67,2,41,3
2023.01.25 16:53,67,2,41,3
2023.01.25 16:58,67,2,41,3
2023.01.25 17:03,61,2,41,3
2023.01.25 17:08,61,2,41,3
2023.01.25 17:13,61,2,41,3
2023.01.25 17:18,61,2,41,3
2023.01.25 17:23,61,2,41,3
2023.01.25 17:28,61,2,41,3
2023.01.25 17:33,61,2,41,3
2023.01.25 17:38,61,2,41,3
2023.01.25 17:43,61,2,41,3
2023.01.25 17:48,61,2,41,3
2023.01.25 17:53,61,2,41,3
2023.01.25 17:58,61,2,41,3
2023.01.25 18:03,67,0,41,3
2023.01.25 18:08,67,0,41,3
2023.01.25 18:13,67,0,41,3
2023.01.25 18:18,67,0,41,3
2023.01.25 18:23,67,0,41,3
2023.01.25 18:28,67,0,41,3
2023.01.25 18:33,67,0,41,3
2023.01.25 18:38,67,0,41,3
2023.01.25 18:43,67,0,41,3
2023.01.25 18:48,67,0,41,3
2023.01.25 18:53,67,0,41,3
2023.01.25 18:58,67,0,41,3
2023.01.25 19:03,76,3,41,3
2023.01.25 19:10,76,3,41,3
2023.01.25 19:15,76,3,41,3
2023.01.25 19:20,76,3,41,3
2023.01.25 19:25,76,3,41,3
2023.01.25 19:30,76,3,41,3
2023.01.25 19:35,76,3,41,3
2023.01.25 19:40,76,3,41,3
2023.01.25 19:45,76,3,41,3
2023.01.25 19:50,76,3,41,3
2023.01.25 19:55,76,3,41,3
2023.01.25 20:00,0,1,41,3
2023.01.25 20:05,0,1,41,3
2023.01.25 20:10,0,1,41,3
2023.01.25 20:15,0,1,41,3
2023.01.25 20:20,0,1,41,3
2023.01.25 20:25,0,1,41,3
2023.01.25 20:30,0,1,41,3
2023.01.25 20:35,0,1,41,3
2023.01.25 20:40,0,1,41,3
2023.01.25 20:45,0,1,41,3
2023.01.25 20:50,0,1,41,3
2023.01.25 20:56,0,1,41,3
2023.01.25 21:01,96,2,41,3
2023.01.25 21:06,96,2,41,3
2023.01.25 21:11,96,2,41,3
2023.01.25 21:16,96,2,41,3
2023.01.25 21:21,96,2,41,3
2023.01.25 21:26,96,2,41,3
2023.01.25 21:31,96,2,41,3
2023.01.25 21:36,96,2,41,3
2023.01.25 21:41,96,2,41,3
2023.01.25 21:46,96,2,41,3
2023.01.25 21:51,96,2,41,3
2023.01.25 21:56,96,2,41,3
2023.01.25 22:01,100,2,41,3
2023.01.25 22:06,100,2,41,3
2023.01.25 22:11,100,2,41,3
2023.01.25 22:16,100,2,41,3
2023.01.25 22:21,100,2,41,3
2023.01.25 22:26,100,2,41,3
2023.01.25 22:31,100,2,41,3
2023.01.25 22:36,100,2,41,3
2023.01.25 22:41,100,2,41,3
2023.01.25 22:46,100,2,41,3
2023.01.25 22:51,100,2,41,3
2023.01.25 22:56,100,2,41,3
2023.01.25 23:01,0,4,41,3
2023.01.25 23:06,0,4,41,3
2023.01.25 23:11,0,4,41,3
2023.01.25 23:16,0,4,41,3
2023.01.25 23:21,0,4,41,3
2023.01.25 23:26,0,4,41,3
2023.01.25 23:31,0,4,41,3
2023.01.25 23:49,0,4,58,2
2023.01.25 23:50,0,4,58,2
